Percentage,Time (ms)
1,23.136
2,23.851
3,24.195
4,24.954
5,25.66
6,26.183
7,26.968
8,27.519
9,28.266
10,28.802
11,29.714
12,30.14
13,31.217
14,32.041
15,32.594
16,33.354
17,34.013
18,35.019
19,36.21
20,38.092
21,39.291
22,41.246
23,42.152
24,43.166
25,46.453
26,51.21
27,51.673
28,51.974
29,52.157
30,52.334
31,52.626
32,52.906
33,53.283
34,53.494
35,53.664
36,53.782
37,53.886
38,54.01
39,54.063
40,54.17
41,54.311
42,54.364
43,54.561
44,54.694
45,54.882
46,54.95
47,55.063
48,55.153
49,55.255
50,55.356
51,55.486
52,55.607
53,55.676
54,55.744
55,55.788
56,55.865
57,55.911
58,55.987
59,56.041
60,56.153
61,56.297
62,56.446
63,56.535
64,56.574
65,56.71
66,56.836
67,56.964
68,57.087
69,57.201
70,57.383
71,57.5
72,57.693
73,57.842
74,57.939
75,58.021
76,58.295
77,58.652
78,58.826
79,58.997
80,59.107
81,59.876
82,60.604
83,61.003
84,61.818
85,64.287
86,66.111
87,74.929
88,95.298
89,100.518
90,108.678
91,115.09
92,117.286
93,120.608
94,125.247
95,130.617
96,134.679
97,137.531
98,140.152
99,201.996
100,262.464
